Iteracion;Delta;Distancia
1122;3.14082;3524.0
1123;3.1398041;3526.0
1124;3.1405694;3530.0
1125;3.1413333;3534.0
1126;3.1403198;3536.0
1127;3.1410825;3540.0
1128;3.140071;3542.0
1129;3.1408327;3546.0
1130;3.139823;3548.0
1131;3.1405835;3552.0
1132;3.1413426;3556.0
1133;3.1403353;3558.0
1134;3.1410935;3562.0
1135;3.140088;3564.0
1136;3.140845;3568.0
1137;3.1398418;3570.0
1138;3.1405976;3574.0
1139;3.1413522;3578.0
1140;3.1403508;3580.0
1141;3.1411042;3584.0
1142;3.140105;3586.0
1143;3.1408575;3590.0
1144;3.1398602;3592.0
1145;3.1406114;3596.0
1146;3.1413612;3600.0
1147;3.140366;3602.0
1148;3.141115;3606.0
1149;3.140122;3608.0
1150;3.1408696;3612.0
1151;3.1398783;3614.0
1152;3.140625;3618.0
1153;3.1413703;3622.0
1154;3.1403813;3624.0
1155;3.1411254;3628.0
1156;3.1401384;3630.0
1157;3.1408815;3634.0
1158;3.1398964;3636.0
1159;3.1406386;3640.0
1160;3.1413794;3644.0
1161;3.140396;3646.0
1162;3.141136;3650.0
1163;3.1401548;3652.0
1164;3.1408935;3656.0
1165;3.1399143;3658.0
1166;3.1406517;3662.0
1167;3.1413882;3666.0
1168;3.140411;3668.0
1169;3.1411462;3672.0
1170;3.140171;3674.0
1171;3.1409051;3678.0
1172;3.1399317;3680.0
1173;3.140665;3684.0
1174;3.141397;3688.0
1175;3.1404254;3690.0
1176;3.1411564;3694.0
1177;3.140187;3696.0
1178;3.1409168;3700.0
1179;3.139949;3702.0
1180;3.140678;3706.0
1181;3.1414056;3710.0
1182;3.14044;3712.0
1183;3.1411664;3716.0
1184;3.1402028;3718.0
1185;3.1409283;3722.0
1186;3.1399662;3724.0
1187;3.1406908;3728.0
1188;3.1414142;3732.0
1189;3.140454;3734.0
1190;3.1411765;3738.0
1191;3.1402183;3740.0
1192;3.1409397;3744.0
1193;3.1399832;3746.0
1194;3.1407034;3750.0
1195;3.1414225;3754.0
1196;3.1404681;3756.0
1197;3.1411862;3760.0
1198;3.1402338;3762.0
1199;3.1409507;3766.0
1200;3.14;3768.0
1201;3.140716;3772.0
1202;3.1414309;3776.0
1203;3.1404822;3778.0
1204;3.141196;3782.0
1205;3.140249;3784.0
1206;3.140962;3788.0
1207;3.1400166;3790.0
1208;3.1407285;3794.0
1209;3.1414392;3798.0
1210;3.1404958;3800.0
1211;3.1412055;3804.0
1212;3.140264;3806.0
1213;3.1409729;3810.0
1214;3.140033;3812.0
1215;3.1407406;3816.0
1216;3.1414473;3820.0
1217;3.1405094;3822.0
1218;3.141215;3826.0
1219;3.1402788;3828.0
1220;3.1409836;3832.0
1221;3.1400492;3834.0
1222;3.1407528;3838.0
1223;3.13982;3840.0
1224;3.140523;3844.0
1225;3.1412244;3848.0
1226;3.1402936;3850.0
1227;3.1409943;3854.0
1228;3.1400652;3856.0
1229;3.140765;3860.0
1230;3.1398375;3862.0
1231;3.140536;3866.0
1232;3.1412337;3870.0
1233;3.1403081;3872.0
1234;3.1410048;3876.0
1235;3.140081;3878.0
1236;3.1407766;3882.0
1237;3.1398544;3884.0
1238;3.1405492;3888.0
1239;3.141243;3892.0
1240;3.1403227;3894.0
1241;3.1410153;3898.0
1242;3.1400967;3900.0
1243;3.1407883;3904.0
1244;3.1398714;3906.0
1245;3.1405623;3910.0
1246;3.141252;3914.0
1247;3.1403368;3916.0
1248;3.1410255;3920.0
1249;3.1401122;3922.0
1250;3.1408;3926.0
1251;3.139888;3928.0
1252;3.1405752;3932.0
1253;3.1412609;3936.0
1254;3.1403508;3938.0
1255;3.1410358;3942.0
1256;3.1401274;3944.0
1257;3.1408114;3948.0
1258;3.1399045;3950.0
1259;3.1405878;3954.0
1260;3.14127;3958.0
1261;3.140365;3960.0
1262;3.141046;3964.0
1263;3.1401424;3966.0
1264;3.140823;3970.0
1265;3.139921;3972.0
1266;3.1406002;3976.0
1267;3.1412785;3980.0
1268;3.1403785;3982.0
1269;3.141056;3986.0
1270;3.1401575;3988.0
1271;3.140834;3992.0
1272;3.1399372;3994.0
1273;3.1406128;3998.0
1274;3.1412873;4002.0
1275;3.140392;4004.0
1276;3.1410658;4008.0
1277;3.1401722;4010.0
1278;3.140845;4014.0
1279;3.1399531;4016.0
1280;3.140625;4020.0
1281;3.141296;4024.0
1282;3.1404057;4026.0
1283;3.1410756;4030.0
1284;3.140187;4032.0
1285;3.140856;4036.0
1286;3.1399689;4038.0
1287;3.1406372;4042.0
1288;3.1413043;4046.0
1289;3.140419;4048.0
1290;3.1410854;4052.0
1291;3.1402013;4054.0
1292;3.1408668;4058.0
1293;3.1399846;4060.0
1294;3.140649;4064.0
1295;3.1413128;4068.0
1296;3.1404321;4070.0
1297;3.141095;4074.0
1298;3.1402156;4076.0
1299;3.1408775;4080.0
1300;3.14;4082.0
1301;3.140661;4086.0
1302;3.141321;4090.0
1303;3.1404452;4092.0
1304;3.1414874;4096.4995
1305;3.1417625;4100.0
1306;3.1393569;4100.0
1307;3.1400154;4104.0
1308;3.1406727;4108.0
1309;3.1413293;4112.0
1310;3.1419847;4116.0
1311;3.139588;4116.0
1312;3.140244;4120.0
1313;3.1408987;4124.0
1314;3.1415524;4128.0
1315;3.1391635;4128.0
1316;3.1398177;4132.0
1317;3.1404707;4136.0
1318;3.1411228;4140.0
1319;3.1417742;4144.0
1320;3.139394;4144.0
1321;3.1400454;4148.0
1322;3.1406958;4152.0
1323;3.1413455;4156.0
1324;3.141994;4160.0
1325;3.1396227;4160.0
1326;3.1402714;4164.0
1327;3.1409194;4168.0
1328;3.1415663;4172.0
1329;3.1392024;4172.0
1330;3.1398497;4176.0
1331;3.1404958;4180.0
1332;3.1411412;4184.0
1333;3.1417854;4188.0
1334;3.1394303;4188.0
1335;3.140075;4192.0
1336;3.1407185;4196.0
1337;3.1413612;4200.0
1338;3.142003;4204.0
1339;3.1396565;4204.0
1340;3.1402986;4208.0
1341;3.1409397;4212.0
1342;3.1415796;4216.0
1343;3.1392405;4216.0
1344;3.139881;4220.0
1345;3.1405203;4224.0
1346;3.141159;4228.0
1347;3.1417966;4232.0
1348;3.1394658;4232.0
1349;3.1401038;4236.0
1350;3.1407406;4240.0
1351;3.1413767;4244.0
1352;3.142012;4248.0
1353;3.1396897;4248.0
1354;3.140325;4252.0
1355;3.1409595;4256.0
1356;3.141593;4260.0
1357;3.139278;4260.0
1358;3.1399117;4264.0
1359;3.1405444;4268.0
1360;3.1411765;4272.0
1361;3.1418076;4276.0
1362;3.1395006;4276.0
1363;3.140132;4280.0
1364;3.1407626;4284.0
1365;3.141392;4288.0
1366;3.1420205;4292.0
1367;3.139722;4292.0
1368;3.1403508;4296.0
1369;3.1409788;4300.0
1370;3.1416059;4304.0
1371;3.1393144;4304.0
1372;3.1399417;4308.0
1373;3.140568;4312.0
1374;3.1411936;4316.0
1375;3.1418183;4320.0
1376;3.139535;4320.0
1377;3.1401598;4324.0
1378;3.1407838;4328.0
1379;3.1414068;4332.0
1380;3.142029;4336.0
1381;3.1397538;4336.0
1382;3.1403763;4340.0
1383;3.140998;4344.0
1384;3.1416185;4348.0
1385;3.1393502;4348.0
1386;3.1399713;4352.0
1387;3.1405911;4356.0
1388;3.1412103;4360.0
1389;3.1418285;4364.0
1390;3.1395683;4364.0
1391;3.140187;4368.0
1392;3.1408045;4372.0
1393;3.1414213;4376.0
1394;3.1420374;4380.0
1395;3.139785;4380.0
1396;3.1404011;4384.0
1397;3.1410165;4388.0
1398;3.141631;4392.0
1399;3.1393852;4392.0
1400;3.14;4396.0
1401;3.1406138;4400.0
1402;3.1412268;4404.0
1403;3.141839;4408.0
1404;3.1396012;4408.0
1405;3.1402135;4412.0
1406;3.140825;4416.0
1407;3.1414356;4420.0
1408;3.1420455;4424.0
1409;3.1398156;4424.0
1410;3.1404254;4428.0
1411;3.1410348;4432.0
1412;3.141643;4436.0
1413;3.1394196;4436.0
1414;3.1400282;4440.0
1415;3.140636;4444.0
1416;3.141243;4448.0
1417;3.141849;4452.0
1418;3.1396332;4452.0
1419;3.1402397;4456.0
1420;3.140845;4460.0
1421;3.1414497;4464.0
1422;3.1392405;4464.0
1423;3.1398454;4468.0
1424;3.1404495;4472.0
1425;3.1410527;4476.0
1426;3.141655;4480.0
1427;3.1394534;4480.0
1428;3.1400561;4484.0
1429;3.140658;4488.0
1430;3.1412587;4492.0
1431;3.1418588;4496.0
1432;3.139665;4496.0
1433;3.1402652;4500.0
1434;3.1408646;4504.0
1435;3.1414635;4508.0
1436;3.1392758;4508.0
1437;3.1398747;4512.0
1438;3.140473;4516.0
1439;3.1410701;4520.0
1440;3.1416667;4524.0
1441;3.1394866;4524.0
1442;3.1400833;4528.0
1443;3.1406791;4532.0
1444;3.1412742;4536.0
1445;3.1418686;4540.0
1446;3.1396956;4540.0
1447;3.1402903;4544.0
1448;3.140884;4548.0
1449;3.1414769;4552.0
1450;3.1393104;4552.0
1451;3.1399035;4556.0
1452;3.1404958;4560.0
1453;3.1410873;4564.0
1454;3.141678;4568.0
1455;3.139519;4568.0
1456;3.1401098;4572.0
1457;3.1407;4576.0
1458;3.1412895;4580.0
1459;3.141878;4584.0
1460;3.139726;4584.0
1461;3.1403148;4588.0
1462;3.1409028;4592.0
1463;3.14149;4596.0
1464;3.1393442;4596.0
1465;3.1399317;4600.0
1466;3.1405184;4604.0
1467;3.1411042;4608.0
1468;3.1416893;4612.0
1469;3.1395507;4612.0
1470;3.140136;4616.0
1471;3.1407206;4620.0
1472;3.1413043;4624.0
1473;3.1418872;4628.0
1474;3.1397557;4628.0
1475;3.140339;4632.0
1476;3.1409214;4636.0
1477;3.141503;4640.0
1478;3.1393776;4640.0
1479;3.1399593;4644.0
1480;3.1405406;4648.0
1481;3.141121;4652.0
1482;3.1417005;4656.0
1483;3.139582;4656.0
1484;3.1401618;4660.0
1485;3.1407406;4664.0
1486;3.141319;4668.0
1487;3.1418965;4672.0
1488;3.139785;4672.0
1489;3.1403627;4676.0
1490;3.1409397;4680.0
1491;3.1415157;4684.0
1492;3.1394103;4684.0
1493;3.1399865;4688.0
1494;3.1405623;4692.0
1495;3.1411371;4696.0
1496;3.1417112;4700.0
1497;3.1396127;4700.0
1498;3.140187;4704.0
1499;3.1407604;4708.0
1500;3.1413333;4712.0
1501;3.1419053;4716.0
1502;3.1398137;4716.0
1503;3.1403859;4720.0
1504;3.1409574;4724.0
1505;3.1415281;4728.0
1506;3.1394422;4728.0
1507;3.1400132;4732.0
1508;3.1405835;4736.0
1509;3.141153;4740.0
1510;3.141722;4744.0
1511;3.1396427;4744.0
1512;3.1402116;4748.0
1513;3.14078;4752.0
1514;3.1413474;4756.0
1515;3.1419141;4760.0
1516;3.1398418;4760.0
1517;3.1404088;4764.0
1518;3.140975;4768.0
1519;3.1415405;4772.0
1520;3.1394737;4772.0
1521;3.1400394;4776.0
1522;3.1406045;4780.0
1523;3.1411688;4784.0
1524;3.1417322;4788.0
1525;3.139672;4788.0
1526;3.140236;4792.0
1527;3.140799;4796.0
1528;3.1413612;4800.0
1529;3.1419227;4804.0
1530;3.1398692;4804.0
1531;3.1404312;4808.0
1532;3.1409922;4812.0
1533;3.1415524;4816.0
1534;3.1395047;4816.0
1535;3.1400652;4820.0
1536;3.140625;4824.0
1537;3.141184;4828.0
1538;3.1417425;4832.0
1539;3.1397011;4832.0
1540;3.1402597;4836.0
1541;3.1408176;4840.0
1542;3.1413748;4844.0
1543;3.139339;4844.0
1544;3.1398964;4848.0
1545;3.140453;4852.0
1546;3.141009;4856.0
1547;3.1415644;4860.0
1548;3.139535;4860.0
1549;3.1400905;4864.0
1550;3.1406453;4868.0
1551;3.141199;4872.0
1552;3.1417525;4876.0
1553;3.1397295;4876.0
1554;3.140283;4880.0
1555;3.140836;4884.0
1556;3.1413882;4888.0
1557;3.1393707;4888.0
1558;3.139923;4892.0
1559;3.1404746;4896.0
1560;3.1410255;4900.0
1561;3.1415758;4904.0
1562;3.1395648;4904.0
1563;3.1401153;4908.0
1564;3.140665;4912.0
1565;3.1412141;4916.0
1566;3.1417625;4920.0
1567;3.1397574;4920.0
1568;3.1403062;4924.0
1569;3.1408541;4928.0
1570;3.1414013;4932.0
1571;3.1394017;4932.0
1572;3.139949;4936.0
1573;3.1404958;4940.0
1574;3.141042;4944.0
1575;3.1415873;4948.0
1576;3.1395938;4948.0
1577;3.1401396;4952.0
1578;3.1406844;4956.0
1579;3.1412287;4960.0
1580;3.1417723;4964.0
1581;3.139785;4964.0
1582;3.1403286;4968.0
1583;3.1408718;4972.0
1584;3.1414142;4976.0
1585;3.1394322;4976.0
1586;3.1399748;4980.0
1587;3.1405168;4984.0
1588;3.141058;4988.0
1589;3.1415985;4992.0
1590;3.1396227;4992.0
1591;3.1401634;4996.0
1592;3.1407034;5000.0

